trading_date,exchange_id,traded_volume,pnl
2018-08-02,1,751,-154455.7004
2018-08-03,1,899,79136.32718
2018-08-06,1,1019,-188857.4711
2018-08-07,1,711,-57418.19247
2018-08-08,1,981,-48853.60456
2018-08-09,1,1256,-755.8163702
2018-08-10,1,844,171481.6016
2018-08-13,1,922,-16202.93141
2018-08-14,1,865,-86119.53457
2018-08-15,1,608,13167.27777
2018-08-16,1,833,203658.7961
2018-08-17,1,877,36270.13387
2018-08-20,1,475,74779.23903
2018-08-21,1,657,-1867.673703
2018-08-22,1,715,43140.18788
2018-08-23,1,873,58674.75443
2018-08-24,1,670,-43094.81177
2018-08-27,1,772,66773.92083
2018-08-28,1,1453,-32040.13184
2018-08-29,1,2323,-69234.30087
2018-08-30,1,736,106853.7614
2018-08-31,1,819,-24597.05221
2018-09-03,1,0,0
2018-09-04,1,733,47376.77773
2018-09-05,1,673,-27998.77219
2018-09-06,1,1920,-44062.02699
2018-09-07,1,1494,123347.1756
2018-09-10,1,653,74694.63817
2018-09-11,1,679,-37919.87541
2018-09-12,1,664,-44438.16625
2018-09-13,1,652,49337.23774
2018-09-14,1,784,-124604.1881
2018-09-17,1,797,-32346.63724
2018-09-18,1,807,-101289.5927
2018-09-19,1,1210,59227.55307
2018-09-20,1,744,40493.78416
2018-09-21,1,2530,-206077.8971
2018-09-24,1,691,71330.01482
2018-09-25,1,799,153225.5018
2018-09-26,1,787,-36790.65722
2018-09-27,1,1147,-85266.66777
2018-09-28,1,608,-144343.4654
2018-10-01,1,1214,43005.89873
2018-10-02,1,663,66245.69511
2018-10-03,1,661,49560.38674
2018-10-04,1,732,-13236.65492
2018-10-05,1,1250,186540.838
2018-10-08,1,866,138554.5771
2018-10-09,1,797,69508.40989
2018-10-10,1,1041,-12696.38329
2018-10-11,1,692,-74831.09738
2018-10-12,1,1020,1732.808351
2018-10-15,1,815,-251525.6602
2018-10-16,1,621,-12602.423
2018-10-17,1,685,317977.0184
2018-10-18,1,575,167964.5028
2018-10-19,1,790,150224.9371
2018-10-22,1,1229,-76664.0887
2018-10-23,1,906,-143338.7487
2018-10-24,1,1335,360878.6605
2018-10-25,1,880,-130664.5857
2018-10-26,1,456,-130310.2621
2018-10-29,1,994,-28242.27801
2018-10-30,1,1111,123317.6597
2018-10-31,1,2553,-252355.7779
2018-11-01,1,1014,-22207.65194
2018-11-02,1,2228,73762.43847
2018-11-05,1,2325,20889.98748
2018-11-06,1,1860,-124478.3871
2018-11-07,1,2275,299511.8545
2018-11-08,1,1468,81916.41128
2018-11-09,1,1784,444111.8668
2018-11-12,1,796,292189.6788
2018-11-13,1,2239,48579.51338
2018-11-14,1,819,176065.8667
2018-11-15,1,1202,157680.5302
2018-11-16,1,1600,357346.8093
2018-11-19,1,1603,53521.70665
2018-11-20,1,2349,-301241.7958
2018-11-21,1,1010,58031.19544
2018-11-22,1,0,61867.54143
2018-11-23,1,1499,-53264.71426
2018-11-26,1,730,508067.5536
2018-11-27,1,1656,63986.50627
2018-11-28,1,1219,-173875.0977
2018-11-29,1,1210,399633.2517
2018-11-30,1,942,-162365.3056
2018-12-03,1,909,143877.6995
2018-12-04,1,810,387390.6575
2018-12-05,1,0,0
2018-12-06,1,1030,139079.6203
2018-12-07,1,2047,-251129.8643
2018-12-10,1,1224,236988.7506
2018-12-11,1,655,74044.36454
2018-12-12,1,1685,-161385.6229
2018-12-13,1,1208,673884.2341
2018-12-14,1,1834,-93796.45069
2018-12-17,1,1493,-188870.4469
2018-12-18,1,1415,88333.4025
2018-12-19,1,1954,-254446.1311
2018-12-20,1,540,654901.5796
2018-12-21,1,2216,140328.2937
2018-12-24,1,1244,1038769.981
2018-12-25,1,0,0
2018-12-26,1,641,-85411.0247
2018-12-27,1,1149,-164370.7905
2018-12-28,1,1450,-523465.7705
2018-12-31,1,1423,-147071.2662
2019-01-01,1,0,0
2019-01-02,1,1955,-585866.7234
2019-01-03,1,1619,-96891.53323
2019-01-04,1,1374,-148037.9318
2019-01-07,1,2010,-138785.5611
2019-01-08,1,607,-363652.2603
2019-01-09,1,1676,510441.68
2019-01-10,1,1346,211400.7261
2019-01-11,1,1705,-155678.6558
2019-01-14,1,1712,-61603.19824
2019-01-15,1,1386,-153837.9254
2019-01-16,1,690,-323063.1153
2019-01-17,1,2225,635982.2369
2019-01-18,1,1035,-40344.45455
2019-01-21,1,0,0
2019-01-22,1,1163,514696.1762
2019-01-23,1,1347,-96500.53766
2019-01-24,1,1912,-92471.87444
2019-01-25,1,585,-113486.5852
2019-01-28,1,1223,-189011.312
2019-01-29,1,799,55774.1071
2019-01-30,1,1629,-33206.43594
2019-01-31,1,1082,-254686.8754
2019-02-01,1,1605,-330562.2591
2019-02-04,1,955,-302175.6602
2019-02-05,1,1031,-111584.6023
2019-02-06,1,1528,-181907.9877
2019-02-07,1,896,-73027.26551
2019-02-08,1,1398,-26036.56626
2019-02-11,1,928,-49126.05507
2019-02-12,1,1855,446642.7971
2019-02-13,1,1769,-209477.7184
2019-02-14,1,1527,113003.0797
2019-02-15,1,1707,152176.0401
2019-02-18,1,0,0
2019-02-19,1,994,-127537.8549
2019-02-20,1,1052,71544.7167
2019-02-21,1,770,108589.8476
2019-02-22,1,522,92597.52459
2019-02-25,1,1620,24609.89174
2019-02-26,1,1433,111518.8011
2019-02-27,1,1284,49352.72919
2019-02-28,1,1637,-156918.9061
2019-03-01,1,1997,77564.23873
2019-03-04,1,583,-329786.3139
2019-03-05,1,1133,-107966.3377
2019-03-06,1,1325,-245231.9474
2019-03-07,1,3120,-111613.2006
2019-03-08,1,1377,-103129.1223
2019-03-11,1,1428,-134044.0052
2019-03-12,1,537,-28452.97554
2019-03-13,1,461,-218194.6513
2019-03-14,1,1148,90516.06932
2019-03-15,1,1089,43985.66747
2019-03-18,1,3165,64974.52088
2019-03-19,1,551,-169835.8168
2019-03-20,1,936,-84027.89153
2019-03-21,1,447,13830.46126
2019-03-22,1,401,-240720.8197
2019-03-25,1,960,-6148.700299
2019-03-26,1,3578,-59380.83801
2019-03-27,1,617,-26386.83646
2019-03-28,1,410,46755.33288
2019-03-29,1,551,-129430.4914
2019-04-01,1,1186,22836.32464
2019-04-02,1,472,54770.5328
2019-04-03,1,781,-56283.74315
2019-04-04,1,410,53167.49282
2019-04-05,1,589,22529.7968
2019-04-08,1,563,-4129.877034
2019-04-09,1,781,-55747.7075
2019-04-10,1,317,-85652.451
2019-04-11,1,859,-114964.086
2019-04-12,1,359,-103721.7509
2019-04-15,1,708,-68493.44404
2019-04-16,1,542,22127.479
2019-04-17,1,1246,-128284.606
2019-04-18,1,767,-124423.1965
2019-04-19,1,0,0
2019-04-22,1,490,16509.20124
2019-04-23,1,599,27725.60902
2019-04-24,1,543,-84496.8167
2019-04-25,1,492,-96106.19316
2019-04-26,1,673,41961.12932
2019-04-29,1,795,-74356.74975
2019-04-30,1,565,-31321.66333
2019-05-01,1,1280,37920.24876
2019-05-02,1,671,-93672.23068
2019-05-03,1,714,-37425.55095
2019-05-06,1,1440,-63060.05407
2019-05-07,1,784,-77968.58765
2019-05-08,1,834,19161.75875
2019-05-09,1,861,-77944.94639
2019-05-10,1,1749,-54838.4525
2019-05-13,1,795,36832.73518
2019-05-14,1,1042,79058.53061
2019-05-15,1,892,-102723.9118
2019-05-16,1,1222,100372.41
2019-05-17,1,1318,106091.3944
2019-05-20,1,959,-137786.5882
2019-05-21,1,1147,109292.3155
2019-05-22,1,922,40384.37904
2019-05-23,1,1336,-108049.4449
2019-05-24,1,1171,101167.084
2019-05-27,1,0,0
2019-05-28,1,635,-170725.9647
2019-05-29,1,1027,-25344.78299
2019-05-30,1,1351,-27404.04661
2019-05-31,1,1153,-88876.54749
2019-06-03,1,3131,259098.0242
2019-06-04,1,1772,435383.9466
2019-06-05,1,1084,85376.49817
2019-06-06,1,1100,-11462.95162
2019-06-07,1,1162,273889.0532
2019-06-10,1,1513,-132615.0042
2019-06-11,1,1324,284658.4084
2019-06-12,1,1732,75727.2351
2019-06-13,1,1317,248462.7407
2019-06-14,1,1372,-149377.757
2019-06-17,1,1264,267306.8667
2019-06-18,1,1321,75594.3803
2019-06-19,1,2575,160278.7366
2019-06-20,1,1089,296954.6679
2019-06-21,1,1168,54014.91336
2019-06-24,1,1272,154607.1134
2019-06-25,1,1224,-247512.6651
2019-06-26,1,1192,-25458.12699
2019-06-27,1,1822,-50142.41286
2019-06-28,1,2465,-23323.43932
2019-07-01,1,1193,-8159.424783
2019-07-02,1,1841,291421.3511
2019-07-03,1,1570,-118961.1582
2019-07-04,1,0,0
2019-07-05,1,1062,219610.2091
2019-07-08,1,1693,104200.2449
2019-07-09,1,1041,-63528.31575
2019-07-10,1,1283,-62658.06485
2019-07-11,1,1311,15078.78619
2019-07-12,1,1921,215673.12
2019-07-15,1,1895,61386.21461
2019-07-16,1,2087,278506.8841
2019-07-17,1,1517,109607.5408
2019-07-18,1,1830,-480879.665
2019-07-19,1,1877,-128879.61
2019-07-22,1,1476,125545.4434
2019-07-23,1,1345,-16571.93601
2019-07-24,1,1554,103780.5588
2019-07-25,1,1655,-116019.3055
2019-07-26,1,1349,36498.66818
2019-07-29,1,2097,43057.22961
2019-07-30,1,1690,32752.25258
2019-07-31,1,1799,177723.4638
2019-08-01,1,1738,-61681.24392
2019-08-02,1,1995,86098.68237
2019-08-05,1,1250,165299.4356
2019-08-06,1,2638,97652.18117
2019-08-07,1,1921,-129542.4221
2019-08-08,1,1022,100657.7206
2019-08-09,1,1736,177470.2923
2019-08-12,1,2067,-100975.5572
2019-08-13,1,1941,54863.02985
2019-08-14,1,1093,-41981.24804
2019-08-15,1,2380,175780.099
2019-08-16,1,1237,-169807.6452
2019-08-19,1,1697,203598.7737
2019-08-20,1,1122,20204.08208
2019-08-21,1,1930,28774.00098
2019-08-22,1,1376,73705.9631
2019-08-23,1,787,-141591.1736
2019-08-26,1,1919,55003.70428
2019-08-27,1,2289,-164159.5129
2019-08-28,1,1764,198.2394394
2019-08-29,1,1063,117035.926
2019-08-30,1,1378,169325.7649
2019-09-02,1,0,0
2019-09-03,1,761,215371.6064
2019-09-04,1,1126,197679.7226
2019-09-05,1,1280,-163153.2813
2019-09-06,1,1017,264609.3765
2019-09-09,1,1731,320718.2285
2019-09-10,1,1755,63388.54161
2019-09-11,1,2306,-100176.321
2019-09-12,1,1412,23319.401
2019-09-13,1,1940,66639.23605
2019-09-16,1,2342,213771.5289
2019-09-17,1,1423,-108369.9618
2019-09-18,1,1021,-26807.46052
2019-09-19,1,1438,187750.6041
2019-09-20,1,814,-98183.75125
2019-09-23,1,2764,-162303.5751
2019-09-24,1,923,197679.7226
2019-09-25,1,1384,107825.1569
2019-09-26,1,2946,-225456.1697
2019-09-27,1,679,-296806.6663
2019-09-30,1,1302,180709.9564
2019-10-01,1,571,146105.0119
2019-10-02,1,774,-178015.4848
2019-10-03,1,796,91317.26671
2019-10-04,1,654,486149.8367
2019-10-07,1,875,-179979.5473
2019-10-08,1,1193,91396.60404
2019-10-09,1,929,90920.58006
